x0,x1,x2,x3,x4,x5,x6,batch_id,cand_index,role,pred_log_fom,pred_rank_in_batch,ckpt_step,fom,fom_error,fom_seconds
16.07546596847251,123.92061581979414,6.810199876359274,7.711095415713064,8.714520073534345,124.00557045523155,130.7200821354508,2,15,candidate,72.01350560174704,1,2500,1.7965132725788082e+31,,24.771971400012262
10.356455175738416,125.91074990244341,8.313036578824711,9.320413963239352,7.747758681371046,130.90453681401127,115.93965616114531,2,16,candidate,72.9390405936729,19,2500,3.036508174844783e+31,,25.652738300035708
7.972366780384935,132.2000853625823,6.810199876359274,7.550654121177256,7.74535951972951,116.12266466241303,136.23684144500186,2,17,candidate,72.96821323407723,20,2500,3.190171436973957e+31,,25.058819700032473
1.7946482158316286,119.90681092514593,9.390534717520424,10.112683705215332,8.470942631613767,122.51636432722997,121.47111732073141,2,18,candidate,72.85402416901032,17,2500,1.9592711963635923e+31,,26.738733700010926
1.16068311248178,122.1955277751366,8.765743419332711,10.529906881010081,9.102818526214199,132.4916788402423,115.93965616114531,2,19,candidate,72.40374381839531,9,2500,2.976321100150485e+31,,26.45436079998035
1.9837889692616741,125.5592729088407,8.005615642094348,8.555542317592208,6.930618758765529,131.27152877450462,115.93965616114531,2,20,candidate,72.52673894084538,12,2500,3.6424043476540233e+31,,25.647371500032023
1.0760700887316386,126.7071534454732,7.712690905862513,9.36515451273339,11.045527131494705,113.38084556080055,127.03633796955847,2,21,candidate,72.29504572733867,3,2500,2.7588624527719843e+31,,25.49684699997306
3.8913229078349976,127.96568164715457,4.740762106341265,6.307637351497154,6.401843567668755,125.0493953809896,123.80185008527806,3,-1,centre,71.82283863328966,-1,2500,1.4894091965209822e+31,,25.217772700008936
3.670286048073663,135.0132193607334,3.3407621063412645,8.909645925826137,9.801843567668755,121.0702153136047,118.14310302457874,3,0,candidate,72.30111514363756,6,2500,2.146874566689212e+31,,25.244185299961828
9.49422695201227,127.01470318844841,5.064209556828317,5.312477623738459,4.659642192955568,123.90592290819205,119.80487750816438,3,1,candidate,72.0495443910932,2,2500,2.4536205572004617e+31,,25.240331599954516
10.96608882018997,122.33215372605889,6.140762106341265,6.321564907003784,6.418526573374629,131.71869441093145,124.51694528499075,3,2,candidate,72.58636069608613,11,2500,2.9196273547011635e+31,,26.042633699951693
13.891322907834997,125.20517358834057,3.9499387406321875,8.558803320320182,7.728821212661694,136.0493953809896,121.1413918224649,3,3,candidate,72.43436234829923,8,2500,3.8316434183310686e+31,,25.077957100002095
2.064742075385753,131.51602582417814,3.559611144174789,6.698932819414433,6.991415379443611,128.62012591110252,131.02414580248973,3,4,candidate,72.33239569323685,7,2500,1.810267063343077e+31,,16.961691400036216
0.3177906225481144,116.96568164715457,4.00032998400575,5.2583537289271955,4.697050838444859,124.16370732088205,122.37279115341406,3,5,candidate,71.93893584435331,1,2500,2.3497978873127045e+31,,14.083762599970214
3.874038034530222,127.50328264074561,4.484554336017881,7.034980304008559,7.141943013872291,125.9768208971089,123.50345073604257,3,6,candidate,71.76768557255119,0,2500,1.625259584652011e+31,,14.407194399973378
13.891322907834997,125.94968278377813,6.140762106341265,7.7671453963961055,8.722224288311022,130.42798712891044,134.80185008527806,3,7,candidate,72.27902962249458,5,2500,2.5372569621736585e+31,,14.20168289996218
6.409781440639728,131.28433996061887,5.248758796579177,5.423011362955065,5.940548444571517,114.39837654641735,123.28372786151506,3,8,candidate,72.54308697543512,9,2500,2.932908432092361e+31,,14.520675700041465
3.784328664956527,126.19319400940168,3.824365777522809,6.472941487762041,6.804492116396507,132.29526975015278,131.62804337078634,3,9,candidate,72.20971978260546,3,2500,1.8764674053679298e+31,,14.001315800007433
11.76437110974118,116.96568164715457,4.596686528768602,6.727228734645762,7.782008514364949,120.66617583415092,115.08117885350671,3,10,candidate,72.21029289244281,4,2500,2.297727532491122e+31,,14.923515400034375
1.443889165227516,138.96568164715455,4.41581316983058,6.246967856258682,5.138327430736547,127.59916715031632,121.26625235507629,3,11,candidate,72.5869656537912,12,2500,3.017139776961448e+31,,19.69122239993885
13.891322907834997,131.7114510700892,6.140762106341265,5.839067332616912,5.66597873279652,130.69629153874948,134.80185008527806,3,12,candidate,72.64442180607648,13,2500,2.6788174994443533e+31,,27.397421800065786
4.3137692621422135,134.71926215367824,5.180169292386601,9.462961927295432,8.528789238728919,133.76811163620783,125.84609241706703,3,13,candidate,72.55125979202579,10,2500,2.65499949326984e+31,,28.429141800035723
2.7674572931564967,129.38900804386705,7.536447915573183,14.152619424633867,16.00137722344262,124.09235206255049,123.40287977652572,4,-1,centre,72.02251446852914,-1,2500,1.9316549498824407e+31,,18.438562999945134
0.7816720530333248,129.26093225300346,8.081326426050378,17.188359057071647,16.174307123571914,135.0923520625505,126.99186063602401,4,0,candidate,72.19268960552337,4,2500,2.4781850100753765e+31,,15.722916599945165
8.254424198223852,118.38900804386705,7.621913176937213,12.46433478282475,13.081522276926817,123.56202964266903,121.50055332427804,4,1,candidate,72.22634681215219,5,2500,2.8104815839676682e+31,,16.158575899899006
4.150024360850478,125.7420676827374,7.409056913796291,13.678891117300745,15.80863473330259,121.25549800538326,128.350083367065,4,2,candidate,72.88786472748053,20,2500,2.052102097020031e+31,,15.978935900027864
